序号,时间,黏度,密度,油温,水活性,含水量,4umISO,6umISO,14umISO,21umISO,NAS等级
0,2020-11-20 0:15,34.02,0.94,41.65,0.25,32,17,15,9,5,7
1,2020-11-20 0:45,33.95,0.94,40.7,0.244,32,17,14,9,5,7
2,2020-11-20 1:15,33.9,0.94,40.7,0.244,32,17,14,9,5,7
3,2020-11-20 1:45,33.89,0.94,40.99,0.251,34,17,13,9,5,8
4,2020-11-20 2:15,34.02,0.94,40.99,0.251,34,16,14,9,5,7
5,2020-11-20 2:45,34.05,0.94,41.21,0.256,33,17,13,9,5,7
6,2020-11-20 3:15,33.98,0.94,41.21,0.256,33,17,14,9,5,7
7,2020-11-20 3:45,34.03,0.94,40.51,0.246,33,17,15,9,5,7
8,2020-11-20 4:15,33.58,0.94,40.15,0.247,33,17,14,8,5,7
9,2020-11-20 4:45,33.48,0.94,39.54,0.244,32,17,14,9,5,7
10,2020-11-20 5:15,33.08,0.94,40.23,0.243,31,17,14,9,5,7
11,2020-11-20 5:45,33.29,0.94,40.23,0.243,31,17,15,9,5,7
12,2020-11-20 6:15,33.28,0.94,39.91,0.251,31,17,14,9,5,7
13,2020-11-20 6:45,33.19,0.94,39.91,0.251,31,17,14,9,5,7
14,2020-11-20 7:15,33.16,0.94,40.33,0.248,32,17,14,9,5,8
15,2020-11-20 7:45,33.22,0.94,39.46,0.251,31,17,14,9,5,7
16,2020-11-20 8:15,33.08,0.94,39.82,0.255,33,17,14,9,5,7
17,2020-11-20 8:45,33.1,0.94,39.67,0.252,33,17,14,9,5,7
18,2020-11-20 9:15,33.4,0.94,40.15,0.249,32,17,14,9,5,7
19,2020-11-20 9:45,33.48,0.94,39.4,0.243,31,17,14,9,5,7
20,2020-11-20 10:15,33.57,0.94,39.57,0.247,31,17,14,9,5,7
21,2020-11-20 10:45,33.81,0.94,40.4,0.247,32,17,14,9,5,7
22,2020-11-20 11:15,33.99,0.94,40.4,0.247,32,17,14,9,5,7
23,2020-11-20 11:45,34.07,0.94,40.51,0.247,33,17,14,9,5,7
24,2020-11-20 12:15,33.99,0.94,41.14,0.26,34,17,13,9,5,7
25,2020-11-20 12:45,34.01,0.94,41.49,0.251,34,17,13,9,5,7
26,2020-11-20 13:15,34.2,0.94,42.14,0.246,31,17,15,9,5,7
27,2020-11-20 13:45,34.2,0.94,43.08,0.243,32,17,14,9,5,7
28,2020-11-20 14:15,34.24,0.94,42.78,0.24,32,17,14,9,5,7
29,2020-11-20 14:45,34.1,0.94,42.63,0.252,33,17,13,9,5,7
30,2020-11-20 15:15,34.15,0.94,41.77,0.259,34,17,13,8,5,7
31,2020-11-20 15:45,34.26,0.94,42.05,0.241,32,17,14,9,5,7
32,2020-11-20 16:15,34.3,0.94,42.36,0.244,32,17,14,9,5,7
33,2020-11-20 16:45,34.18,0.94,42.26,0.256,33,17,13,9,5,7
34,2020-11-20 17:15,34.19,0.94,42.46,0.24,32,16,14,9,5,7
35,2020-11-20 17:45,34.38,0.94,42.46,0.24,32,17,14,9,5,7
36,2020-11-20 18:15,34.36,0.94,43.25,0.242,31,17,14,9,5,7
37,2020-11-20 18:45,34.23,0.94,42.29,0.242,31,17,14,9,5,7
38,2020-11-20 19:15,34.27,0.94,41.88,0.253,33,17,13,9,5,7
39,2020-11-20 19:45,34.11,0.94,42.85,0.251,33,17,13,9,5,7
40,2020-11-20 20:15,34.17,0.94,42.48,0.241,31,17,14,9,5,7
41,2020-11-20 20:45,34.29,0.94,41.75,0.247,31,17,14,9,5,7
42,2020-11-20 21:15,34.21,0.94,42.37,0.26,33,17,13,9,5,8
43,2020-11-20 21:45,34.15,0.94,42.48,0.242,32,17,14,9,5,7
44,2020-11-20 22:15,34.22,0.94,42.28,0.243,32,17,14,9,5,7
45,2020-11-20 22:45,34.31,0.94,42.36,0.249,32,17,14,9,5,7
46,2020-11-20 23:15,34.25,0.94,42.36,0.249,32,17,14,9,5,7
47,2020-11-20 23:45,34.16,0.94,42.91,0.241,31,17,15,9,5,7
48,2020-11-21 0:15,34.15,0.94,42.91,0.241,31,17,14,9,5,8
49,2020-11-21 0:45,34.22,0.94,42.8,0.258,33,17,13,9,5,7
50,2020-11-21 1:15,34.27,0.94,42.04,0.255,34,17,13,9,5,7
51,2020-11-21 1:45,34.06,0.94,42.04,0.255,34,17,14,9,5,7
52,2020-11-21 2:15,34.05,0.94,41.75,0.246,31,17,14,8,5,7
53,2020-11-21 2:45,34.08,0.94,40.77,0.259,34,17,13,8,5,7
54,2020-11-21 3:15,34.22,0.94,41.65,0.26,33,17,13,9,5,7
55,2020-11-21 3:45,34.13,0.94,41.65,0.26,33,17,13,9,5,7
56,2020-11-21 4:15,34.12,0.94,42.32,0.245,32,17,14,9,5,7
57,2020-11-21 4:45,34.05,0.94,42.32,0.245,32,17,13,9,5,7
58,2020-11-21 5:15,34.11,0.94,41.65,0.245,32,17,14,8,5,7
59,2020-11-21 5:45,34.14,0.94,41.89,0.254,33,17,13,9,5,7
60,2020-11-21 6:15,33.95,0.94,41.89,0.254,33,16,13,9,5,7
