序号,时间,黏度,水活性,NAS等级,温度
0,2023-3-22 14:34,45.88,0.235,6,41.62
1,2023-3-22 14:49,45.69,0.36,7,45.41
2,2023-3-22 15:04,45.39,0.281,6,46.04
3,2023-3-22 15:19,45.26,0.276,7,43.2
4,2023-3-22 15:34,45.54,0.316,7,43.35
5,2023-3-22 15:49,46.07,0.213,7,43.67
6,2023-3-22 16:04,46.18,0.253,6,44.98
7,2023-3-22 16:19,45.63,0.329,6,50.06
8,2023-3-22 16:34,45.1,0.315,6,43.76
9,2023-3-22 16:49,46.05,0.39,7,47.91
10,2023-3-22 17:04,45.43,0.234,7,43.57
11,2023-3-22 17:19,45.3,0.211,7,44.93
12,2023-3-22 17:34,45.87,0.316,6,43.22
13,2023-3-22 17:49,46.2,0.218,6,49.18
14,2023-3-22 18:04,45.48,0.261,7,43.78
15,2023-3-22 18:19,45.66,0.326,6,50.79
16,2023-3-22 18:34,45.78,0.303,6,42.84
17,2023-3-22 18:49,45.73,0.341,7,48.96
18,2023-3-22 19:04,45.71,0.4,6,45.9
19,2023-3-22 19:19,45.47,0.226,7,48.87
20,2023-3-22 19:34,46.07,0.37,7,47.41
21,2023-3-22 19:49,46.13,0.215,7,42.8
22,2023-3-22 20:04,45.86,0.255,7,48.76
23,2023-3-22 20:19,46.15,0.252,7,48.98
24,2023-3-22 20:34,45.41,0.319,6,43.72
25,2023-3-22 20:49,45.93,0.292,7,47.27
26,2023-3-22 21:04,45.62,0.332,7,44.2
27,2023-3-22 21:19,45.42,0.337,6,48.56
28,2023-3-22 21:34,45.25,0.332,6,43.76
29,2023-3-22 21:49,46.18,0.291,7,46.83
30,2023-3-22 22:04,46.13,0.271,6,47.08
31,2023-3-22 22:19,45.15,0.302,6,43.11
32,2023-3-22 22:34,45.96,0.247,7,45.81
33,2023-3-22 22:49,45.17,0.332,6,48.24
34,2023-3-22 23:04,45.8,0.394,6,45.34
35,2023-3-22 23:19,45.11,0.336,7,42.24
36,2023-3-22 23:34,45.27,0.269,7,46.83
37,2023-3-22 23:49,45.33,0.38,7,50.3
38,2023-3-23 0:04,45.97,0.394,6,44.04
39,2023-3-23 0:19,46.12,0.305,6,41.58
40,2023-3-23 0:34,45.71,0.34,6,47.98
41,2023-3-23 0:49,46.15,0.302,6,50.87
42,2023-3-23 1:04,45.63,0.211,7,43.62
43,2023-3-23 1:19,45.82,0.391,7,48.1
44,2023-3-23 1:34,45.3,0.346,6,42.2
45,2023-3-23 1:49,45.83,0.24,7,43.55
46,2023-3-23 2:04,45.71,0.253,7,41.77
47,2023-3-23 2:19,45.47,0.267,7,44.09
48,2023-3-23 2:34,45.93,0.245,6,44.86
49,2023-3-23 2:49,46.14,0.278,7,45.34
50,2023-3-23 3:04,45.62,0.333,7,41.02
51,2023-3-23 3:19,45.43,0.4,7,50.75
52,2023-3-23 3:34,45.54,0.306,6,50.58
53,2023-3-23 3:49,45.93,0.315,6,46.25
54,2023-3-23 4:04,45.77,0.39,6,42.8
55,2023-3-23 4:19,45.16,0.38,7,42.2
56,2023-3-23 4:34,45.93,0.26,7,44.14
57,2023-3-23 4:49,45.97,0.241,6,48.08
58,2023-3-23 5:04,46.1,0.295,7,44.13
59,2023-3-23 5:19,45.89,0.397,7,45.12
60,2023-3-23 5:34,46.2,0.275,7,48.58
61,2023-3-23 5:49,46.13,0.277,6,41.22
62,2023-3-23 6:04,45.86,0.241,6,43.68
63,2023-3-23 6:19,46.04,0.395,7,50.89
64,2023-3-23 6:34,45.97,0.292,7,49.79
65,2023-3-23 6:49,45.83,0.286,7,46.07
66,2023-3-23 7:04,45.11,0.228,6,47.64
67,2023-3-23 7:19,45.97,0.216,7,44.54
68,2023-3-23 7:34,45.76,0.332,6,43.82
69,2023-3-23 7:49,46.11,0.287,6,46.56
70,2023-3-23 8:04,45.65,0.275,6,47.23
71,2023-3-23 8:19,45.18,0.309,6,45.8
72,2023-3-23 8:34,45.3,0.383,7,42.82
73,2023-3-23 8:49,45.45,0.244,7,50.27
74,2023-3-23 9:04,45.24,0.349,7,47.4
75,2023-3-23 9:19,46.17,0.368,6,44.44
76,2023-3-23 9:34,45.94,0.298,7,43.07
77,2023-3-23 9:49,45.77,0.338,6,48.25
78,2023-3-23 10:04,45.45,0.351,7,44.68
79,2023-3-23 10:19,45.31,0.354,6,45.84
80,2023-3-23 10:34,45.73,0.322,7,45.77
81,2023-3-23 10:49,45.44,0.239,7,50.2
82,2023-3-23 11:04,46.16,0.331,7,43.81
83,2023-3-23 11:19,45.69,0.226,6,41.58
84,2023-3-23 11:34,46.21,0.212,7,47.06
85,2023-3-23 11:49,45.9,0.372,7,43.3
86,2023-3-23 12:04,45.16,0.399,7,48.11
87,2023-3-23 12:19,45.95,0.344,6,46.13
88,2023-3-23 12:34,45.42,0.367,6,43.21
89,2023-3-23 12:49,45.44,0.247,6,42.86
90,2023-3-23 13:04,45.32,0.32,6,41.51
91,2023-3-23 13:19,45.73,0.326,7,48.16
92,2023-3-23 13:34,45.17,0.25,7,50.82
93,2023-3-23 13:49,46.17,0.257,7,42.03
94,2023-3-23 14:04,45.2,0.323,6,41.82
95,2023-3-23 14:19,45.99,0.213,6,41.76
96,2023-3-23 14:34,46.02,0.29,7,43.32
97,2023-3-23 14:49,45.53,0.344,7,41.41
98,2023-3-23 15:04,45.76,0.371,6,42.59
99,2023-3-23 15:19,45.14,0.294,7,50.45
100,2023-3-23 15:34,45.72,0.23,7,50.52
101,2023-3-23 15:49,45.92,0.293,7,41.17
