时间,黏度(实时),密度,油温,水活性,4umISO,6umISO,14umISO,NAS等级,黏度,介电常数
2022-10-3 0:03,63.72,0.843,25.15,0.67,17,14,10,6,31.89,2.22
2022-10-3 0:18,64.09,0.842,25.04,0.67,16,14,10,6,31.89,2.22
2022-10-3 0:33,64.25,0.843,25.01,0.67,16,14,10,6,31.94,2.22
2022-10-3 0:48,64.38,0.843,24.99,0.67,17,14,10,6,31.88,2.22
2022-10-3 1:03,64.4,0.843,24.95,0.67,16,14,10,6,31.86,2.22
2022-10-3 1:18,64.73,0.843,24.88,0.67,16,14,10,6,31.89,2.22
2022-10-3 1:33,64.85,0.843,24.86,0.67,17,14,11,6,31.98,2.22
2022-10-3 1:48,64.92,0.843,24.78,0.67,17,14,10,6,31.85,2.22
2022-10-3 2:03,64.92,0.843,24.78,0.67,17,14,10,6,31.85,2.22
2022-10-3 2:18,64.67,0.84,24.53,0.67,17,14,10,6,31.6,2.22
2022-10-3 2:33,65.36,0.843,24.63,0.67,16,14,11,6,31.81,2.22
2022-10-3 2:48,65.73,0.842,24.62,0.67,16,14,11,6,31.95,2.22
2022-10-3 3:03,65.68,0.842,24.61,0.67,17,14,10,6,31.94,2.22
2022-10-3 3:18,65.76,0.843,24.54,0.67,17,14,11,6,31.81,2.22
2022-10-3 3:33,65.93,0.842,24.5,0.67,17,14,10,6,31.84,2.22
2022-10-3 3:48,66.09,0.842,24.45,0.67,16,14,10,6,31.86,2.22
2022-10-3 4:03,66.47,0.842,24.4,0.67,16,14,10,6,31.93,2.22
2022-10-3 4:18,66.52,0.842,24.35,0.67,16,14,10,6,31.92,2.22
2022-10-3 4:33,66.75,0.842,24.35,0.67,16,14,10,6,31.97,2.22
2022-10-3 4:48,66.84,0.842,24.24,0.67,17,14,10,6,31.87,2.22
2022-10-3 5:03,67.19,0.842,24.2,0.67,16,14,11,6,31.9,2.22
2022-10-3 5:18,67.61,0.841,24.11,0.67,16,14,11,6,31.98,2.22
2022-10-3 5:33,67.78,0.841,24.1,0.67,16,14,11,6,31.99,2.22
2022-10-3 5:48,67.96,0.841,24.03,0.67,16,14,11,6,31.93,2.22
2022-10-3 6:03,68.3,0.841,23.92,0.67,16,14,11,6,31.94,2.22
2022-10-3 6:18,68.51,0.841,23.77,0.67,16,14,11,6,31.91,2.22
2022-10-3 6:33,69.13,0.841,23.68,0.67,16,14,11,6,32.04,2.22
2022-10-3 6:48,69.4,0.841,23.61,0.67,17,14,10,6,31.94,2.22
2022-10-3 7:03,69.79,0.841,23.46,0.67,16,14,10,6,31.95,2.23
