时间,温度,水活性,介电常数,40℃黏度,Fe(70~100um),Fe(100~150um),Fe(>150um),nFe(200~300um),nFe(300~400um),nFe(>400um),黏度
2022-12-16 14:02,45.7938,0.324496,2.32092,106.233,0,0,0,0,0,0,106.233
2022-12-16 14:25,44.9688,0.319999,2.31447,105.925,0,0,0,0,0,0,105.925
2022-12-16 14:29,45.2031,0.314811,2.31997,106.685,0,0,0,0,0,0,106.685
2022-12-16 14:41,45.075,0.315491,2.3153,104.363,0,0,0,0,0,0,104.363
2022-12-16 14:45,45.125,0.323808,2.32194,104.792,0,0,0,0,0,0,104.792
2022-12-16 14:56,44.9813,0.310993,2.33264,104.07,0,0,0,0,0,0,104.07
2022-12-16 15:00,43.9188,0.325302,2.33239,104.353,0,0,0,0,0,0,104.353
2022-12-16 15:11,44.8563,0.306507,2.33391,105.438,0,0,0,0,0,0,105.438
2022-12-16 15:15,43.4796,0.320766,2.33354,103.918,0,0,0,0,0,0,103.918
2022-12-16 15:25,44.775,0.2761,2.32253,105.88,0,0,0,0,0,0,105.88
2022-12-16 15:30,43.75,0.316391,2.33049,99.8099,0,0,0,0,0,0,99.8099
2022-12-16 15:41,44.8,0.27162,2.32192,105.916,0,0,0,0,0,0,105.916
2022-12-16 15:45,43.9375,0.311997,2.32343,100.984,0,0,0,0,0,0,100.984
2022-12-16 15:55,44.9625,0.27369,2.32538,105.699,0,0,0,0,0,0,105.699
2022-12-16 16:00,43.4981,0.307647,2.32712,100.549,0,0,0,0,0,0,100.549
2022-12-16 16:11,44.6313,0.278153,2.31652,104.589,0,0,0,0,0,0,104.589
2022-12-16 16:15,41.8937,0.303458,2.31679,100.13,0,0,0,0,0,0,100.13
2022-12-16 16:26,44.5375,0.273699,2.31679,104.65,0,0,0,0,0,0,104.65
2022-12-16 16:30,43.5438,0.272445,2.31679,98.9008,0,0,0,0,0,0,98.9008
2022-12-16 16:41,44.5375,0.273699,2.31679,104.65,0,0,0,0,0,0,104.65
2022-12-16 16:45,43.625,0.268083,2.32407,99.1166,0,0,0,0,0,0,99.1166
2022-12-16 16:56,44.675,0.278167,2.32526,104.844,0,0,0,0,0,0,104.844
2022-12-16 17:00,43.4688,0.263736,2.3309,99.1242,0,0,0,0,0,0,99.1242
2022-12-16 17:11,44.3438,0.274195,2.33161,104.238,0,0,0,0,0,0,104.238
2022-12-16 17:15,43.9188,0.268128,2.32985,101.58,0,0,0,0,0,0,101.58
2022-12-16 17:25,44.4125,0.278636,2.32787,104.008,0,0,0,0,0,0,104.008
2022-12-16 17:30,44.4312,0.263685,2.33212,103.751,0,0,0,0,0,0,103.751
2022-12-16 17:40,44.4625,0.28138,2.33051,104.181,0,0,0,0,0,0,104.181
2022-12-16 17:45,44.2313,0.268108,2.32726,103.196,0,0,0,0,0,0,103.196
2022-12-16 17:56,44.2375,0.276956,2.32568,104.612,0,0,0,0,0,0,104.612
2022-12-16 18:11,44.275,0.272529,2.32536,104.292,0,0,0,0,0,0,104.292
2022-12-16 18:22,44.5562,0.276985,2.33037,104.597,0,0,0,0,0,0,104.597
2022-12-16 18:37,44.6625,0.281451,2.3225,104.91,0,0,0,0,0,0,104.91
2022-12-16 18:52,44.5125,0.277,2.31335,103.932,0,0,0,0,0,0,103.932
2022-12-16 19:07,44.4875,0.272551,2.31992,104.158,0,0,0,0,0,0,104.158
2022-12-16 19:22,44.3687,0.268114,2.32997,103.855,0,0,0,0,0,0,103.855
2022-12-16 19:37,44.1375,0.272528,2.31684,104.085,0,0,0,0,0,0,104.085
2022-12-16 19:52,44.0438,0.276298,2.32143,104.781,0,0,0,0,0,0,104.781
2022-12-16 20:07,43.8937,0.271909,2.32695,104.39,0,0,0,0,0,0,104.39
2022-12-16 20:22,43.7188,0.280704,2.32768,103.909,0,0,0,0,0,0,103.909
2022-12-16 20:37,43.5,0.285054,2.33293,103.414,0,0,0,0,0,0,103.414
2022-12-16 20:52,43.425,0.278875,2.31306,104.286,0,0,0,0,0,0,104.286
2022-12-16 21:07,43.3625,0.283211,2.31174,104.777,0,0,0,0,0,0,104.777
2022-12-16 21:22,43.2813,0.278883,2.30895,104.33,0,0,0,0,0,0,104.33
2022-12-16 21:37,43.2687,0.280752,2.30551,104.172,0,0,0,0,0,0,104.172
2022-12-16 21:52,43.3,0.276422,2.30517,104.849,0,0,0,0,0,0,104.849
2022-12-16 22:07,43.2813,0.272094,2.30563,104.834,0,0,0,0,0,0,104.834
2022-12-16 22:22,43.2313,0.267771,2.30861,104.277,0,0,0,0,0,0,104.277
2022-12-16 22:37,43.1187,0.272083,2.31481,104.581,0,0,0,0,0,0,104.581
2022-12-16 22:52,43,0.276383,2.30793,104.219,0,0,0,0,0,0,104.219
2022-12-16 23:07,42.8,0.272103,2.30588,103.775,0,0,0,0,0,0,103.775
2022-12-16 23:22,42.525,0.276355,2.30627,103.369,0,0,0,0,0,0,103.369
2022-12-16 23:37,42.3188,0.269587,2.32094,103.26,0,0,0,0,0,0,103.26
2022-12-16 23:52,42.15,0.273802,2.31501,103.693,0,0,0,0,0,0,103.693
2022-12-17 0:07,41.9688,0.277999,2.31306,103.819,0,0,0,0,0,0,103.819
2022-12-17 0:22,41.8813,0.273811,2.3135,103.677,0,0,0,0,0,0,103.677
2022-12-17 0:37,41.9562,0.278007,2.31147,103.928,0,0,0,0,0,0,103.928
2022-12-17 0:52,41.9813,0.282205,2.31147,102.941,0,0,0,0,0,0,102.941
2022-12-17 1:07,42.0812,0.277997,2.31066,103.263,0,0,0,0,0,0,103.263
2022-12-17 1:22,42,0.273797,2.31205,103.796,0,0,0,0,0,0,103.796
