序号,时间,黏度,密度,油温,水活性,水分,Fe(70~100um),Fe(100~150um),Fe(>150um),nFe(200~300um),nFe(300~400um),nFe(>400um)
0,2020-8-1 0:25,306.99,0.87,47.18,0.2,31,12,0,0,0,0,0
1,2020-8-1 0:55,301.4,0.87,46.85,0.2,30,12,0,0,0,0,0
2,2020-8-1 1:25,310.6,0.86,46.88,0.2,30,23,0,0,0,0,0
3,2020-8-1 1:55,301.31,0.87,46.46,0.2,30,26.66666667,0,0,0,0,0
4,2020-8-1 2:25,303.13,0.87,46.54,0.2,30,32.16666667,0,0,0,0,0
5,2020-8-1 2:55,302.23,0.87,46.02,0.2,30,37.66666667,0,0,0,0,0
6,2020-8-1 3:25,311.56,0.87,46.46,0.2,30,43.16666667,0,0,0,0,0
7,2020-8-1 3:55,300.12,0.87,45.65,0.2,30,48.66666667,0,0,0,0,0
8,2020-8-1 4:25,302.73,0.87,46.18,0.2,30,54.16666667,0,0,0,0,0
9,2020-8-1 4:55,319.1,0.87,45.61,0.2,30,59.66666667,0,0,0,0,0
10,2020-8-1 5:25,308.49,0.87,45.79,0.2,30,65.16666667,0,0,0,0,0
11,2020-8-1 5:55,308.48,0.87,45.07,0.21,30,70.66666667,0,0,0,0,0
12,2020-8-1 6:25,302.54,0.87,45.56,0.2,29,76.16666667,0,0,0,0,0
13,2020-8-1 6:55,304.13,0.87,45.86,0.2,30,81.66666667,0,0,0,0,0
14,2020-8-1 7:25,305.55,0.87,45.24,0.21,30,87.16666667,0,0,0,0,0
15,2020-8-1 7:55,302.14,0.87,44.84,0.21,30,92.66666667,0,0,0,0,0
16,2020-8-1 8:25,306.7,0.88,44.34,0.22,30,98.16666667,0,0,0,0,0
17,2020-8-1 8:55,317.84,0.87,44.11,0.23,31,103.6666667,0,0,0,0,0
18,2020-8-1 9:25,340.02,0.88,43.36,0.24,31,109.1666667,0,0,0,0,0
19,2020-8-1 9:55,338.94,0.88,43.2,0.24,31,114.6666667,0,0,0,0,0
20,2020-8-1 10:25,358.71,0.86,42.83,0.24,31,120.1666667,0,0,0,0,0
21,2020-8-1 10:55,358.71,0.86,42.84,0.24,31,125.6666667,0,0,0,0,0
22,2020-8-1 11:25,358.71,0.85,42.85,0.24,31,131.1666667,0,0,0,0,0
23,2020-8-1 11:55,340.49,0.87,42.49,0.24,30,136.6666667,0,0,0,0,0
24,2020-8-1 12:25,361.31,0.88,42.74,0.24,31,142.1666667,0,0,0,0,0
25,2020-8-1 12:55,378.86,0.86,42.41,0.24,31,147.6666667,0,0,0,0,0
26,2020-8-1 13:25,365.35,0.87,42.67,0.24,31,0,0,0,0,0,0
27,2020-8-1 13:55,367.6,0.88,42.24,0.24,31,0,0,0,0,0,0
28,2020-8-1 14:25,366.26,0.87,42.52,0.24,31,0,0,0,0,0,0
29,2020-8-1 14:55,349.31,0.88,42.31,0.24,31,0,0,0,0,0,0
30,2020-8-1 15:25,341.8,0.88,41.84,0.25,31,0,0,0,0,0,0
31,2020-8-1 15:55,345.58,0.88,41.98,0.25,31,0,0,0,0,0,0
32,2020-8-1 16:25,334.14,0.88,41.92,0.25,31,0,0,0,0,0,0
33,2020-8-1 16:55,337.44,0.88,41.86,0.25,31,0,0,0,0,0,0
